N E Topografia b-sedidmentos b-basalto b-and-cuater b-toba b-and-terc b-lechos
2066 536.5 -2.343 -2.343 -2.343 -1.814482463 -1.614482463 -1.614482463 -1.514482463
2066 537.5 -2.398 -2.398 -2.398 -1.842789479 -1.642789479 -1.642789479 -1.542789479
2066 538.5 -2.362 -2.362 -2.362 -1.864918891 -1.664918891 -1.664918891 -1.564918891
2066 539.5 -2.406 -2.406 -2.406 -1.875785552 -1.675785552 -1.675785552 -1.575785552
2066 540.5 -2.36 -2.36 -2.36 -1.876042466 -1.676042466 -1.676042466 -1.576042466
2066 541.5 -2.284 -2.284 -2.284 -1.873625593 -1.673625593 -1.673625593 -1.573625593
2066 542.5 -2.223 -2.223 -2.223 -1.878838982 -1.678838982 -1.678838982 -1.578838982
2066 543.5 -2.183 -2.183 -2.183 -1.899747186 -1.699747186 -1.699747186 -1.599747186
2066 544.5 -2.173 -2.173 -2.173 -1.935583037 -1.735583037 -1.735583037 -1.635583037
2066 545.5 -2.142 -2.142 -2.142 -1.979479273 -1.779479273 -1.776656267 -1.676656267
2066 546.5 -2.146 -2.146 -2.146 -2.021803449 -1.821803449 -1.813461725 -1.713461725
2066 547.5 -2.132 -2.132 -2.132 -2.048200341 -1.848200341 -1.8390504 -1.7390504
2066 548.5 -2.1 -2.1 -2.1 -2.052533106 -1.852533106 -1.852533106 -1.752533106
2066 549.5 -2.057 -2.057 -2.057 -2.025466004 -1.857961272 -1.857961272 -1.757961272
2066 550.5 -1.983 -1.983 -1.983 -1.973 -1.865198449 -1.865198449 -1.765198449
2066 551.5 -1.977 -1.977 -1.977 -1.967 -1.87884644 -1.87884644 -1.77884644
2066 552.5 -2.02 -2.02 -2.02 -2.001469657 -1.898646296 -1.898646296 -1.798646296
2066 553.5 -2.005 -2.005 -2.005 -1.995 -1.920678557 -1.920678557 -1.820678557
2066 554.5 -1.986 -1.986 -1.986 -1.975037584 -1.937926954 -1.937926954 -1.839076662
2066 555.5 -1.954 -1.954 -1.954 -1.944 -1.944 -1.944 -1.846701074
2066 556.5 -2.045 -2.045 -2.045 -2.003601759 -1.934728917 -1.934728917 -1.837017193
2066 557.5 -2.048 -2.048 -2.048 -2.038 -1.904233853 -1.904233853 -1.805406523
